Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BBC,9/22/2020,1690,1700,1666,1666,-2.57%,495,833660,-0.025730994,-0.026067827,1671.8,1620.65,1647.826873,1623.174202,69.47679472,24.65267044,13.26554647,43.42857143,1620.65,48.87607853,1718.402157,1522.897843,5445
BBC,9/23/2020,1633,1640,1633,1640,-1.56%,30,49120,-0.015606242,-0.015729302,1675.6,1625.7,1646.622739,1624.420558,74.1008528,22.20218078,15.05287333,42.78571429,1625.7,45.06498232,1715.829965,1535.570035,5415
BBC,9/24/2020,1617,1635,1611,1635,-0.30%,94,151828,-0.00304878,-0.003053437,1672.6,1626.25,1644.834625,1625.20422,85.82164329,19.63040477,15.96837962,42.42857143,1626.25,45.11024507,1716.47049,1536.02951,5321
BBC,9/27/2020,1635,1635,1603,1612,-1.41%,270,434940,-0.014067278,-0.01416716,1652.6,1625.6,1639.783144,1624.22613,81.45304747,15.55701439,15.88610657,42.64285714,1625.6,45.22272368,1716.045447,1535.154553,5051
BBC,9/28/2020,1612,1615,1610,1610,-0.12%,97,156419,-0.001240695,-0.001241465,1632.6,1626.35,1635.201122,1623.172342,60.97890088,12.0287796,15.11464118,42.28571429,1626.35,44.811036,1715.972072,1536.727928,4954
BBC,9/29/2020,1602,1629,1599,1629,1.18%,105,169265,0.011801242,0.011732151,1625.2,1627,1634.247103,1623.604021,40.26290166,10.64308249,14.22032944,42.35714286,1627,44.74724337,1716.494487,1537.505513,5059
BBC,9/30/2020,1629,1629,1629,1629,0.00%,100,162900,0,0,1623,1630.8,1633.439857,1624.003723,43.38665026,9.436133672,13.26349029,42.35714286,1630.8,41.22033223,1713.240664,1548.359336,5059
BBC,10/4/2020,1629,1629,1597,1597,-1.96%,150,242890,-0.019643953,-0.01983946,1615.4,1630.9,1627.833725,1622.003447,40.71494893,5.830277661,11.77684776,38.57142857,1630.9,41.13124053,1713.162481,1548.637519,4909
BBC,10/5/2020,1628,1628,1628,1628,1.94%,20,32560,0.019411396,0.019225398,1618.6,1632.8,1627.859306,1622.447636,45.68268822,5.41166936,10.50381208,38.35714286,1632.8,40.00473656,1712.809473,1552.790527,4929
BBC,10/6/2020,1660,1662,1630,1662,2.09%,130,215630,0.020884521,0.020669429,1629,1636.4,1633.11172,1625.377441,50.76173065,7.734279161,9.949905497,37.28571429,1636.4,39.18162835,1714.763257,1558.036743,5059
BBC,10/7/2020,1695,1728,1662,1728,3.97%,440,746410,0.039711191,0.038942974,1648.8,1642.8,1647.709917,1632.979112,40.21948688,14.73080503,10.9060854,39.71428571,1642.8,43.17357866,1729.147157,1556.452843,5499
BBC,10/8/2020,1701,1701,1694,1700,-1.62%,90,152950,-0.016203704,-0.016336419,1663,1649.25,1655.754545,1637.943622,46.40522876,17.81092295,12.28705291,37.78571429,1649.25,41.48541278,1732.220826,1566.279174,5409
