Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
ADBL,4/8/2018,333,348,331,340,2.72%,17000,5765360,0.027190332,0.026827242,325,322.75,323.6361135,328.5775517,37.73584906,-4.941438195,-8.885720326,13.14285714,322.75,10.1922313,343.1344626,302.3655374,1108885
ADBL,4/9/2018,341,346,334,335,-1.47%,13810,4682890,-0.014705882,-0.014815086,329.2,323.2,325.3844037,329.0532886,47.27272727,-3.668884875,-7.842353236,13.28571429,323.2,10.5361533,344.2723066,302.1276934,1095075
ADBL,4/10/2018,330,337,325,334,-0.30%,6099,2023470,-0.002985075,-0.002989539,333,323.5,326.7098801,329.4197117,48.14814815,-2.709831591,-6.815848907,13.71428571,323.5,10.76299704,345.0259941,301.9740059,1088976
ADBL,4/11/2018,332,335,328,335,0.30%,5135,1702720,0.002994012,0.002989539,335,323.6,327.9852831,329.8330663,40.74074074,-1.847783216,-5.822235769,13.57142857,323.6,10.86471837,345.3294367,301.8705633,1094111
ADBL,4/12/2018,336,340,332,337,0.60%,9067,3064630,0.005970149,0.005952399,336.2,323.7,329.3721627,330.3639503,42.59259259,-0.991787672,-4.856146149,13.42857143,323.7,10.98372001,345.66744,301.73256,1103178
ADBL,4/15/2018,337,340,326,340,0.89%,7648,2538264,0.008902077,0.008862687,336.2,323.95,331.0072146,331.0777318,33.82352941,-0.07051723,-3.899020366,13.21428571,323.95,11.30661195,346.5632239,301.3367761,1110826
ADBL,4/16/2018,340,341,335,338,-0.59%,5765,1952450,-0.005882353,-0.005899722,336.8,324.15,332.0830277,331.5904924,48.86363636,0.492535307,-3.020709231,10.57142857,324.15,11.52697066,347.2039413,301.0960587,1105061
ADBL,4/17/2018,338,343,336,337,-0.30%,17345,5875128,-0.00295858,-0.002962965,337.4,324.75,332.839485,331.9911967,66.36363636,0.848288317,-2.246909721,10.35714286,324.75,11.88043504,348.5108701,300.9891299,1087716
ADBL,4/18/2018,340,354,337,345,2.37%,17497,6018810,0.023738872,0.023461487,339.4,325.85,334.7103334,332.9548117,67.59259259,1.75552172,-1.446423433,10.92857143,325.85,12.70008288,351.2501658,300.4498342,1105213
ADBL,4/19/2018,351,353,347,351,1.74%,24467,8591260,0.017391304,0.017241806,342.2,327.6,337.216436,334.2914923,66.98113208,2.924943655,-0.572150016,10.64285714,327.6,13.64744048,354.894881,300.305119,1129680
ADBL,4/22/2018,351,370,352,369,5.13%,36790,13381295,0.051282051,0.050010421,348,330.25,342.1062151,336.8624929,65.38461538,5.243722165,0.591024421,11.42857143,330.25,16.1860076,362.6220152,297.8779848,1166470
ADBL,4/23/2018,376,382,360,360,-2.44%,39505,14550800,-0.024390244,-0.024692613,352.4,333.25,344.8591051,338.5763823,66.34615385,6.28272274,1.729364085,12.42857143,333.25,15.84090308,364.9318062,301.5681938,1126965
ADBL,4/24/2018,355,365,345,359,-0.28%,16417,5863410,-0.002777778,-0.002781643,356.8,335.4,347.0346274,340.0892429,70.90909091,6.94538447,2.772568162,13.07142857,335.4,16.28819398,367.976388,302.823612,1110548
ADBL,4/25/2018,360,360,351,352,-1.95%,10118,3576540,-0.019498607,-0.019691213,358.2,337.45,347.7985308,340.9715212,70.90909091,6.827009649,3.583456459,12.71428571,337.45,15.62209973,368.6941995,306.2058005,1100430
ADBL,4/26/2018,353,354,345,348,-1.14%,10047,3496940,-0.011363636,-0.011428696,357.6,338.95,347.8295261,341.4921492,65.74074074,6.337376845,4.134240536,12.14285714,338.95,15.08737709,369.1247542,308.7752458,1090383
ADBL,4/29/2018,342,348,337,344,-1.15%,10608,3637410,-0.011494253,-0.011560822,352.6,340.45,347.2403682,341.677916,64.0776699,5.562452262,4.419882881,12.07142857,340.45,13.92262453,368.2952491,312.6047509,1079775
ADBL,5/2/2018,344,342,338,341,-0.87%,5447,1851294,-0.00872093,-0.00875918,348.8,341.8,346.2803116,341.6277,60.55045872,4.652611608,4.466428627,11.64285714,341.8,12.45454895,366.7090979,316.8909021,1074328
ADBL,5/3/2018,343,352,343,346,1.47%,9858,3429600,0.014662757,0.014556298,346.2,343.35,346.2371867,341.9515741,65.17857143,4.285612674,4.430265436,11.92857143,343.35,10.75700506,364.8640101,321.8359899,1084186
ADBL,5/6/2018,346,346,343,344,-0.87%,9671,3330660,-0.005780347,-0.005797118,344.6,344.3,345.8930042,342.1033093,73.10344828,3.789694845,4.302151318,11.57142857,344.3,9.852063636,364.0041273,324.5958727,1074515
ADBL,5/7/2018,340,345,339,343,0.00%,6251,2139150,-0.002906977,-0.00291121,343.6,344.9,345.4479266,342.1697308,83.82352941,3.278195751,4.097360205,11,344.9,9.352173966,363.6043479,326.1956521,1068264
ADBL,5/8/2018,343,343,340,343,0.00%,5181,1766630,0,0,343.4,345.05,345.0713225,342.2312323,81.3559322,2.840090241,3.845906212,10.78571429,345.05,9.293319615,363.6366392,326.4633608,1068264
ADBL,5/9/2018,343,347,344,344,0.29%,6849,2366426,0.002915452,0.00291121,344,345.5,344.9065037,342.3622521,70.21276596,2.544251562,3.585575282,10.57142857,345.5,8.994150146,363.4883003,327.5116997,1075113
ADBL,5/10/2018,344,346,337,343,-0.29%,11575,3945761,-0.002906977,-0.00291121,343.4,345.95,344.6131954,342.4094927,71.73913043,2.203702722,3.30920077,10,345.95,8.605230967,363.1604619,328.7395381,1063538
ADBL,5/14/2018,339,344,338,341,-0.58%,4201,1434610,-0.005830904,-0.00584797,342.8,346.25,344.0573192,342.3050858,74.50980392,1.752233372,2.99780729,9.857142857,346.25,8.302662858,362.8553257,329.6446743,1059337
ADBL,5/15/2018,341,342,337,339,-0.59%,2916,987956,-0.005865103,-0.00588237,342,346.35,343.2792701,342.0602646,77.87610619,1.219005438,2.64204692,8.857142857,346.35,8.196758024,362.743516,329.956484,1056421
ADBL,5/16/2018,338,344,337,341,0.59%,3039,1034750,0.005899705,0.00588237,341.6,346.4,342.9286131,341.9817265,79.16666667,0.946886624,2.303014861,7.785714286,346.4,8.1589473,362.7178946,330.0821054,1059460
ADBL,5/17/2018,342,343,339,339,-0.59%,6983,2384710,-0.005865103,-0.00588237,340.6,346.45,342.3242111,341.7608579,78.07017544,0.563353233,1.955082535,6.642857143,346.45,8.107663691,362.6653274,330.2346726,1052477
ADBL,5/20/2018,342,344,338,340,0.29%,9261,3153250,0.002949853,0.00294551,340,346.6,341.9666402,341.630424,82.88288288,0.336216209,1.63130927,6.428571429,346.6,7.949842766,362.4996855,330.7003145,1061738
ADBL,5/21/2018,335,340,335,340,0.00%,10925,3694070,0,0,339.8,346.35,341.6640802,341.5096518,86.91588785,0.154428327,1.335933081,6.142857143,346.35,8.080353041,362.5107061,330.1892939,1061738
ADBL,5/22/2018,335,340,335,337,-0.88%,6973,2356130,-0.008823529,-0.008862687,339.4,345.65,340.9465294,341.1756035,82.88288288,-0.229074182,1.022931629,5.714285714,345.65,8.260718715,362.1714374,329.1285626,1054765
ADBL,5/23/2018,340,340,334,334,-0.89%,8116,2724350,-0.008902077,-0.008941937,338,343.9,339.8778325,340.6440774,88.39285714,-0.766244818,0.665096339,5.714285714,343.9,6.592659395,357.0853188,330.7146812,1046649
ADBL,5/24/2018,334,338,335,335,0.30%,5963,2000585,0.002994012,0.002989539,337.2,342.65,339.1273968,340.2259975,88.18181818,-1.098600789,0.312356914,5.214285714,342.65,5.687243343,354.0244867,331.2755133,1052612
ADBL,5/27/2018,335,335,330,332,-0.89%,6118,2031970,-0.008955224,-0.008995563,335.6,341.3,338.0308742,339.6166644,81.81818182,-1.585790215,-0.067272512,5.357142857,341.3,4.725073099,350.7501462,331.8498538,1046494
ADBL,5/28/2018,332,347,328,340,2.41%,5764,1932420,0.024096386,0.023810649,335.6,340.7,338.3338166,339.6450596,80.55555556,-1.311243012,-0.316066612,6.285714286,340.7,4.001315573,348.7026311,332.6973689,1052258
ADBL,5/29/2018,340,342,334,337,-0.88%,9698,3277170,-0.008823529,-0.008862687,335.6,340.15,338.1286141,339.4491293,80.82191781,-1.320515225,-0.516956335,6.642857143,340.15,3.688888008,347.527776,332.772224,1042560
ADBL,5/30/2018,337,340,335,339,0.89%,10982,3715650,0.005934718,0.005917177,336.6,339.9,338.2626734,339.4158604,88.4057971,-1.153187014,-0.64420247,6.714285714,339.9,3.582119337,347.0642387,332.7357613,1053542
ADBL,5/31/2018,340,340,337,338,-0.29%,8381,2838510,-0.002949853,-0.002954212,337.2,339.75,338.2222621,339.3109819,91.17647059,-1.08871976,-0.733105928,6.285714286,339.75,3.596416345,346.9428327,332.5571673,1045161
ADBL,6/3/2018,335,336,326,330,-2.65%,14980,4957980,-0.023668639,-0.023953241,336.8,338.95,336.9572987,338.6212795,89.28571429,-1.663980803,-0.919280903,6.714285714,338.95,3.899730085,346.7494602,331.1505398,1030181
ADBL,6/4/2018,326,331,324,329,-0.30%,6154,2011610,-0.003030303,-0.003034904,334.6,338.2,335.7330989,337.9085922,86.36363636,-2.175493235,-1.170523369,6.857142857,338.2,4.299326753,346.7986535,329.6013465,1024027
ADBL,6/6/2018,332,340,332,336,2.13%,3379,1135010,0.021276596,0.021053409,334.4,337.85,335.7741606,337.767215,83.33333333,-1.993054334,-1.335029562,7.142857143,337.85,4.171015275,346.1920305,329.5079695,1027406
ADBL,6/7/2018,336,336,325,327,-2.68%,3481,1144590,-0.026785714,-0.027150989,332,337.05,334.4242898,336.9696435,82.35294118,-2.545353721,-1.577094394,7.642857143,337.05,4.639362479,346.328725,327.771275,1023925
ADBL,6/10/2018,327,327,314,317,-3.06%,9920,3149850,-0.03058104,-0.031058397,327.8,335.7,331.7436298,335.4904106,73.52941176,-3.746780834,-2.011031682,8.142857143,335.7,6.182317739,348.0646355,323.3353645,1014005
ADBL,6/11/2018,317,326,316,323,1.89%,5594,1785270,0.018927445,0.018750549,326.4,334.7,330.398456,334.565195,68.57142857,-4.166739047,-2.442173155,8.5,334.7,6.546192143,347.7923843,321.6076157,1019599
ADBL,6/12/2018,319,323,317,321,-0.93%,3235,1035930,-0.00619195,-0.0062112,324.8,333.7,328.9525397,333.5603658,72.72727273,-4.607826091,-2.875303742,8.571428571,333.7,7.041979387,347.7839588,319.6160412,1016364
ADBL,6/13/2018,320,322,316,318,-0.62%,3924,1252220,-0.009345794,-0.00938974,321.2,332.65,327.2675336,332.4077461,62.96296296,-5.140212509,-3.328285495,8.571428571,332.65,7.741038962,348.1320779,317.1679221,1012440
ADBL,6/14/2018,319,324,319,321,0.94%,3956,1273860,0.009433962,0.00938974,320,331.65,326.3032976,331.5627279,54.54545455,-5.259430215,-3.714514439,8.714285714,331.65,7.89586834,347.4417367,315.8582633,1016396
ADBL,6/17/2018,320,320,314,320,-0.31%,1083,342522,-0.003115265,-0.003120127,320.6,330.7,325.3335595,330.7062295,54.54545455,-5.372669954,-4.046145542,8.857142857,330.7,8.105228981,346.910458,314.489542,1015313
ADBL,6/18/2018,320,320,310,314,0.00%,6878,2154550,-0.01875,-0.01892801,318.8,329.4,323.589935,329.468731,42.85714286,-5.878796017,-4.412675637,8.214285714,329.4,8.604772238,346.6095445,312.1904555,1008435
ADBL,6/19/2018,322,322,316,316,-1.25%,3309,1049130,0.006369427,0.006349228,317.8,328.2,322.4222527,328.4710472,47.82608696,-6.048794546,-4.739899419,8.214285714,328.2,8.721419488,345.642839,310.757161,1011744
ADBL,6/20/2018,314,314,309,312,-1.27%,5309,1648950,-0.012658228,-0.012739026,316.6,326.95,320.8188292,327.2509697,55.55555556,-6.432140464,-5.078347628,8.357142857,326.95,9.173617779,345.2972356,308.6027644,1006435
ADBL,6/21/2018,310,316,310,310,-0.64%,9336,2916900,-0.006410256,-0.00643089,314.4,325.75,319.1543939,325.9731201,53.84615385,-6.81872612,-5.426423326,8.571428571,325.75,9.754216362,345.2584327,306.2415673,997099
ADBL,6/24/2018,306,317,306,314,1.29%,3045,952280,0.012903226,0.012820688,313.2,324.7,318.3614103,325.0862223,50,-6.724812021,-5.686101065,8.5,324.7,9.836024015,344.372048,305.027952,1000144
